City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lihue,21.9789,-159.3672,299.92,79,100,6.17,US,1731278602
1,bethel,41.3712,-73.414,285.94,59,100,0.89,US,1731278603
2,stanley,54.868,-1.6985,280.47,89,0,3.09,GB,1731278605
3,whitehorse,60.7161,-135.0538,273.16,74,100,5.66,CA,1731278606
4,adamstown,-25.066,-130.1015,295.21,71,100,5.51,PN,1731278608
5,ust-nera,64.5667,143.2,247.51,99,95,1.21,RU,1731278609
6,iqaluit,63.7506,-68.5145,270.0,63,75,4.12,CA,1731278610
7,portland,45.5234,-122.6762,287.41,75,100,5.14,US,1731278595
8,ostroda,53.6967,19.9649,274.15,77,26,2.59,PL,1731278613
9,atafu village,-8.5421,-172.5159,301.57,70,74,3.7,TK,1731278614
10,mount pearl,47.5166,-52.7813,275.45,67,0,13.89,CA,1731278615
11,georgetown,5.4112,100.3354,300.11,89,40,1.54,MY,1731278616
12,kingston,17.997,-76.7936,302.68,79,20,5.66,JM,1731278618
13,illapel,-31.6308,-71.1653,289.93,52,4,2.76,CL,1731278619
14,launceston,-41.45,147.1667,286.95,67,38,6.69,AU,1731278621
15,porto novo,6.4965,2.6036,301.05,82,80,2.26,BJ,1731278622
16,hawaiian paradise park,19.5933,-154.9731,299.88,82,75,3.6,US,1731278527
17,hami,42.8,93.45,277.87,45,0,3.39,CN,1731278624
18,al jawf,29.5,38.75,292.72,44,0,3.56,SA,1731278625
19,galveston,29.3669,-94.9669,299.85,84,75,6.69,US,1731278626
20,cannonvale,-20.2833,148.7,298.81,63,87,5.16,AU,1731278627
21,papatowai,-46.5619,169.4708,284.95,47,78,6.71,NZ,1731278629
22,usmajac,19.8667,-103.5667,299.15,70,62,1.13,MX,1731278630
23,utrik,11.2278,169.8474,301.53,77,2,9.37,MH,1731278631
24,puerto ayora,-0.7393,-90.3518,296.23,80,90,3.13,EC,1731278632
25,san antonio de pale,-1.4014,5.6325,299.15,83,73,3.44,GQ,1731278633
26,blackmans bay,-43.0167,147.3167,287.89,64,1,0.45,AU,1731278634
27,khandyga,62.6667,135.6,253.42,99,99,0.66,RU,1731278635
28,port-aux-francais,-49.35,70.2167,277.68,86,59,11.12,TF,1731278616
29,quellon,-43.1167,-73.6167,281.46,84,48,5.14,CL,1731278631
30,malpica,43.3228,-8.8105,289.47,99,98,1.9,ES,1731278639
31,west island,-12.1568,96.8225,299.14,83,75,8.23,CC,1731278623
32,hermanus,-34.4187,19.2345,285.82,83,83,3.93,ZA,1731278641
33,cambria,35.5641,-121.0808,289.29,77,56,1.34,US,1731278642
34,tan-tan,28.438,-11.1032,292.33,82,0,3.72,MA,1731278643
35,santyoku,37.4406,129.1708,286.91,73,21,2.57,KR,1731278645
36,edinburgh of the seven seas,-37.0676,-12.3116,288.97,86,100,14.33,SH,1731278646
37,geraldton,-28.7667,114.6,287.38,88,0,5.14,AU,1731278647
38,barah,13.7,30.3667,299.34,24,25,7.21,SD,1731278648
39,yellowknife,62.456,-114.3525,261.44,85,75,4.12,CA,1731278620
40,albany,42.6001,-73.9662,283.9,56,100,1.54,US,1731278475
41,lucapa,-8.4192,20.7447,290.63,98,78,1.15,AO,1731278651
42,tuy hoa,13.0833,109.3,295.43,90,40,1.22,VN,1731278653
43,walvis bay,-22.9575,14.5053,287.47,79,4,2.33,NA,1731278654
44,isafjordur,66.0755,-23.124,276.23,92,93,10.61,IS,1731278655
45,grytviken,-54.2811,-36.5092,272.13,92,71,3.49,GS,1731278656
46,katsuura,35.1333,140.3,291.09,95,100,5.64,JP,1731278657
47,grand-lahou,5.1367,-5.0242,298.74,88,38,2.57,CI,1731278659
48,karratha,-20.7377,116.8463,300.82,34,34,4.01,AU,1731278661
49,newman,37.3138,-121.0208,295.96,33,21,0.45,US,1731278662
50,jamestown,42.097,-79.2353,284.27,97,100,4.63,US,1731278624
51,udachny,66.4167,112.4,257.22,95,94,2.19,RU,1731278664
52,xiangxiang,27.7333,112.5333,288.88,62,0,1.3,CN,1731278665
53,nemuro,43.3236,145.575,285.8,80,100,9.08,JP,1731278638
54,ushuaia,-54.8,-68.3,278.96,87,100,9.77,AR,1731278667
55,bilibino,68.0546,166.4372,253.41,100,98,0.18,RU,1731278669
56,college,64.8569,-147.8028,263.09,78,20,0.0,US,1731278621
57,waitangi,-43.9535,-176.5597,289.16,96,100,3.13,NZ,1731278671
58,ribeira grande,38.5167,-28.7,294.14,81,18,9.83,PT,1731278622
59,bredasdorp,-34.5322,20.0403,287.28,81,88,2.7,ZA,1731278673
60,derzhavinsk,51.1,66.3167,273.24,98,100,7.84,KZ,1731278674
61,makoua,0.0069,15.6333,294.37,92,99,0.76,CG,1731278675
62,pamandzi,-12.7967,45.2794,299.03,83,0,1.54,YT,1731278677
63,digras,20.1167,77.7167,293.51,64,0,1.16,IN,1731278678
64,wailua homesteads,22.0669,-159.378,299.59,83,100,6.17,US,1731278679
65,brookings,44.3114,-96.7984,284.36,87,40,5.66,US,1731278680
66,roma,43.2128,-75.4557,281.23,88,100,3.09,US,1731278681
67,invercargill,-46.4,168.35,285.38,59,65,6.71,NZ,1731278682
68,ormara,25.2088,64.6357,299.71,73,0,2.14,PK,1731278684
69,mermoz boabab,14.7065,-17.4758,300.03,69,0,4.12,SN,1731278685
70,punta arenas,-53.15,-70.9167,283.21,43,40,11.83,CL,1731278686
71,roxas,11.5853,122.7511,299.11,87,100,2.94,PH,1731278687
72,lompoc,34.6391,-120.4579,292.88,52,0,2.57,US,1731278688
73,mikhaylovskoye,51.8239,79.7172,273.93,98,100,6.86,RU,1731278689
74,andop,7.8611,125.7539,297.41,94,100,1.32,PH,1731278690
75,nagqu,31.5,92.0,268.89,58,6,1.64,CN,1731278692
76,richards bay,-28.783,32.0377,293.04,95,100,2.19,ZA,1731278671
77,nagai,38.1036,140.035,285.55,76,100,0.5,JP,1731278694
78,kalymnos,36.95,26.9833,288.89,67,0,3.6,GR,1731278695
79,swakopmund,-22.6833,14.5333,288.7,84,6,0.16,NA,1731278696
80,vila velha,-20.3297,-40.2925,297.12,84,75,5.14,BR,1731278697
81,san patricio,28.017,-97.5169,305.12,56,27,3.74,US,1731278698
82,ilulissat,69.2167,-51.1,268.16,74,93,1.54,GL,1731278614
83,yigo village,13.5361,144.8886,301.34,88,75,6.17,GU,1731278701
84,thompson,55.7435,-97.8558,272.24,74,40,0.0,CA,1731278702
85,tacuarembo,-31.7333,-55.9833,291.32,71,0,2.01,UY,1731278703
86,yung shue wan,22.2333,114.1167,297.94,73,33,2.82,HK,1731278704
87,susuman,62.7833,148.1667,238.55,98,92,0.55,RU,1731278705
88,la ronge,55.1001,-105.2842,279.27,60,20,2.57,CA,1731278706
89,lazaro cardenas,17.9583,-102.2,301.89,74,43,4.22,MX,1731278668
90,rio grande,-32.035,-52.0986,292.4,79,0,6.49,BR,1731278709
91,vilyuchinsk,52.9306,158.4028,269.3,95,100,0.98,RU,1731278710
